ACARA School ID,School Name,Suburb,PostCode
46102,Thomas Carr College,TARNEIT,3029
46105,Christ the Priest Primary School,CAROLINE SPRINGS,3023
46123,Kolbe Catholic College,GREENVALE LAKES,3059
46126,St George Preca Catholic Primary School,CAROLINE SPRINGS,3023
46143,Tarrington Lutheran School,TARRINGTON,3301
46146,Ballarat & Clarendon College,BALLARAT,3350
46149,Fintona Girls' School,BALWYN,3103
46167,The Hamilton and Alexandra College,HAMILTON,3300
46170,Ivanhoe Grammar School,IVANHOE,3079
46173,St Leonard's College,BRIGHTON EAST,3187
46190,Haileybury College - Brighton Campus,BRIGHTON,3186
46193,Tay Creggan House,HAWTHORN,3122
46210,Henderson College,IRYMPLE,3498
46213,Adass Israel School,ELSTERNWICK,3185
46216,Beth Rivkah Campus,ST KILDA EAST,3183
46230,Melbourne Rudolf Steiner School,WARRANWOOD,3134
46233,Eltham College of Education City Campus,MELBOURNE,3000
46236,Berengarra School,BOX HILL NORTH,3129
46251,Northside Christian College,BUNDOORA,3083
46254,Macedon Grammar School Co-Op Ltd,MACEDON,3440
46257,Covenant College,BELL POST HILL,3215
46274,The Knox School,WANTIRNA SOUTH,3152
46277,St Paul's Anglican Grammar School,WARRAGUL,3820
46294,Chairo Christian School - Drouin East Campus,DROUIN EAST,3818
46297,Australian International Academy Of Education - Coburg Campus,COBURG,3058
46300,Carrum Downs Campus,CARRUM DOWNS,3201
46314,Bacchus Marsh Grammar,BACCHUS MARSH,3340
46317,Yarralinda School,MOOROOLBARK,3138
46320,St Mary's Coptic Orthodox College,COOLAROO,3048
46338,Dandenong Campus,KEYSBOROUGH,3173
46341,Ibrahim Dellal Campus,SUNSHINE WEST,3020
46359,Mt Hira College,KEYSBOROUGH,3173
46362,Bendigo Centre,KANGAROO FLAT,3555
46379,Candlebark,ROMSEY,3434
46383,Balcombe Grammar School,MOUNT MARTHA,3934
46387,Lighthouse Christian College Cranbourne,CRANBOURNE,3977
46401,Windsor State School,WINDSOR,4030
46404,Bulimba State School,BULIMBA,4171
46407,Calliope State School,CALLIOPE,4680
46425,Woongoolba State School,WOONGOOLBA,4207
46428,Gayndah State School,GAYNDAH,4625
46445,Ipswich North State School,NORTH IPSWICH,4305
46448,Jondaryan State School,JONDARYAN,4403
46465,Western Cape College - Mapoon,MAPOON,4874
46469,Redbank Plains State School,REDBANK PLAINS,4301
46472,Dysart State School,DYSART,4745
46486,Warwick Central State School,WARWICK,4370
46489,Woodhill State School,WOODHILL,4285
46492,Morayfield State School,MORAYFIELD,4506
46509,Ryeford State School,RYEFORD,4361
46512,Yangan State School,YANGAN,4371
46529,Fernvale State School,FERNVALE,4306
46532,Comet State School,COMET,4702
46535,Cooktown State School,COOKTOWN,4895
46549,Granville State School,GRANVILLE,4650
46552,Mount Gravatt State School,MOUNT GRAVATT,4122
46555,Lakeland State School,LAKELAND,4871
46573,Ferny Grove State School,FERNY GROVE,4055
46576,Tannum Sands State High School,TANNUM SANDS,4680
46593,Minimbah State School,MORAYFIELD,4506
46596,Tarampa State School,TARAMPA,4311
46613,Minden State School,MINDEN,4311
46616,Gowrie State School,GOWRIE JUNCTION,4352
46619,Mount Larcom State School,MOUNT LARCOM,4695
46633,Marburg State School,MARBURG,4346
46636,Doomadgee State School,DOOMADGEE,4830
46639,Greenvale State School,GREENVALE,4816
46656,Springwood Road State School,SPRINGWOOD,4127
46659,Two Mile State School,TWO MILE,4570
46676,Hatton Vale State School,HATTON VALE,4341
46679,Wilsonton State School,TOOWOOMBA,4350
46696,Pilton State School,CLIFTON,4361
46699,Mundingburra State School,MUNDINGBURRA,4812
46702,Annandale State School,ANNANDALE,4814
